"tweet_timestamp"	"twitter_tweet_id"	"tweet_text"	"tweet_language"	"twitter_user_twitter_id"	"twitter_user_screenname"	"user_followers_count"	"user_favorites_count"	"user_created"	"user_location"	"tweet_retweet_count"	"tweet_place"	"tweet_user_mention_count"	"tweet_users_mentioned_screennames"	"tweet_users_mentioned_ids"	"tweet_hashtag_mention_count"	"tweet_hashtags_mentioned"	"tweet_url_count"	"tweet_shortened_urls_mentioned"	"tweet_full_urls_mentioned"	"user_description"	"user_friends_count"	"user_statuses_count"	"tweet_display_urls_mentioned"
"Sun Feb 08 20:15:19 +0000 2015"	"564517855564410881"	"take a sad song, and make it better"	"en"	"1579291261"	"lesbeatles"	"1426"	"1224"	"Tue Jul 09 03:07:25 +0000 2013"	"canada"	"0"										"♡ | lotr ; the beatles ; sherlock ; house ; marvel ; hp |"	"116"	"14111"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855564431360"	"RT @____MGWV____: ( ( ( ( ( ( #FOLLOWTRICK ) ) ) ) ) )

(1) RETWEET

(2) FOLLOW ALL WHO RT

(3) FOLLOWBACK

(4) GAIN WITH #MGWV

(5) FOLLOW&#8230;"	"en"	"2843262459"	"ynco_kj"	"285"	"402"	"Sat Oct 25 05:00:15 +0000 2014"	"W/ His Bang Bro ✊"	"0"		"2"	"____MGWV____,ladiieivory"	"2393024851,820369052"	"2"	"FOLLOWTRICK,MGWV"				"R.I.P Mario ✊ #Free Dj✨ ✨YncoGang✨ Ty Takeover ‼️"	"215"	"1324"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855572791296"	"Very cool to see @miguelibarra1 getting his first start for the #USMNT."	"en"	"64179075"	"JeremyPond"	"7232"	"12649"	"Sun Aug 09 14:07:58 +0000 2009"	"NYC/DC/Toronto "	"0"		"1"	"miguelibarra1"	"60809212"	"1"	"USMNT"				"Publicist to USMNT/Toronto FC striker Jozy Altidore; owner of Aspen Collective; director of communications/PR at James Grant Sports. PR maven. Opinions my own."	"900"	"81213"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855568625665"	"LEs moon boots rouge de Popeye on les a chez moi ahah"	"fr"	"103543754"	"xMathildeB"	"839"	"635"	"Sun Jan 10 11:06:20 +0000 2010"	"France"	"0"										"« You know what they say about hope. It breeds eternal misery. »Troian B. Jlaw. Gwen S. No Doubt. Shy'M. PLL. GA. TVD. OUAT. #TeamManaudou ♥ #potterhead"	"786"	"85503"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855589580801"	"&#1084;&#1085;&#1077; &#1078;&#1077;&#1085;&#1072; &#1087;&#1088;&#1080;&#1085;&#1077;&#1089;&#1105;&#1090; &#1088;&#1086;&#1089;&#1090;&#1086;&#1082;"	"ru"	"2815070257"	"ukm_max_ipb"	"1"	"0"	"Wed Sep 17 14:32:06 +0000 2014"	""	"0"										"Кто хочет приносить пользу, тот и с буквально связанными руками может сделать бездну добра."	"0"	"226"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855564402688"	"RT @markhenton: @TheMiniMagician Starter for 10...
#justsaying http://t.co/uz5Vx93wGj"	"en"	"379242763"	"TheMiniMagician"	"164"	"968"	"Sat Sep 24 16:24:47 +0000 2011"	""	"0"		"2"	"markhenton,TheMiniMagician"	"381112907,379242763"	"1"	"justsaying"				"Wife of @monkeyinabasket, wanna be writer, photographer and super hero. Always loving life and the people I share it with."	"418"	"4170"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855585370112"	"Sto guardando Il pap&#224; di Giovanna. #Ilpap&#224;diGiovanna"	"it"	"19358428"	"Fondano"	"726"	"557"	"Thu Jan 22 20:16:05 +0000 2009"	"dove c'è battaglia"	"0"					"1"	"IlpapàdiGiovanna"				"Twitto da gen 2009. E voi? chi mi ama mi segua. Gli altri pure."	"1979"	"1188"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855589564416"	"&#1042;&#1089;&#1077;&#1084; &#1078;&#1077;&#1083;&#1072;&#1102; &#1087;&#1088;&#1080;&#1103;&#1090;&#1085;&#1099;&#1093; &#1089;&#1085;&#1086;&#1074;!"	"ru"	"184876062"	"tokiohotel20by"	"25727"	"86"	"Mon Aug 30 18:09:58 +0000 2010"	"Россия, Курган"	"0"										"Кредитный рейтинг - мини выписка кредитной истории http://moy-expert.ru/cr/c0620076-3e74-4585-969e-5306e6969528/"	"12563"	"47721"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855597961216"	"&#1084;&#1085;&#1077; &#1076;&#1086;&#1087;&#1077;&#1090;&#1100; &#1089;&#1074;&#1086;&#1080; &#1082;&#1091;&#1087;&#1083;&#1077;&#1090;&#1099;"	"ru"	"2566369896"	"pjam93"	"706"	"1"	"Sat Jun 14 03:45:57 +0000 2014"	""	"0"											"943"	"2057"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855577014272"	"&#1575;&#1604;&#1604;&#1607;&#1605; &#1606;&#1602;&#1606;&#1610; &#1605;&#1606; &#1582;&#1591;&#1575;&#1610;&#1575;&#1610; &#1603;&#1605;&#1575; &#1610;&#1606;&#1602;&#1609; &#1575;&#1604;&#1579;&#1608;&#1576; &#1575;&#1604;&#1571;&#1576;&#1610;&#1590; &#1605;&#1606; &#1575;&#1604;&#1583;&#1606;&#1587; &#1575;&#1604;&#1604;&#1607;&#1605; &#1575;&#1594;&#1587;&#1604;&#1606;&#1610; &#1605;&#1606; &#1582;&#1591;&#1575;&#1610;&#1575;&#1610; &#1576;&#1575;&#1604;&#1605;&#1575;&#1569; &#1608;&#1575;&#1604;&#1579;&#1604;&#1580; &#1608;&#1575;&#1604;&#1576;&#1585;&#1583;   http://t.co/Acohw4UqHh"	"ar"	"1158251298"	"roa2_1996"	"228"	"478"	"Thu Feb 07 21:03:19 +0000 2013"	""	"0"							"1"	"http%3A%2F%2Ft.co%2FAcohw4UqHh"	"http%3A%2F%2Fdu3a.org"	"مواليد 1995 | جامعية ZDRSEDK4 | UQU# | متابعة للإعلام المحافظ | مكة"	"498"	"7162"	"du3a.org"
